,model,fuel,km_driven,resale_val
601,2015,Diesel,"34,152","5,80,000"
602,2010,Diesel,"62,071","1,70,800"
603,2013,Diesel,"1,69,907","3,58,211"
604,2013,Diesel,"2,27,855","2,90,000"
605,2013,Diesel,"74,884","2,74,870"
606,2013,Diesel,"1,49,227","3,00,000"
607,2014,Diesel,"77,416","4,00,000"
608,2015,Diesel,"63,845","4,26,000"
609,2016,Petrol,"40,633","4,50,000"
610,2013,Diesel,"1,19,672","2,85,000"
611,2010,Diesel,"93,783","1,90,000"
612,2011,Petrol + CNG,"1,35,230","2,00,000"
613,2013,Diesel,"51,314","3,86,250"
614,2014,Diesel,"2,17,119","2,30,000"
615,2010,Diesel,"97,054","1,50,000"
616,2014,Diesel,"1,18,349","3,38,000"
617,2011,Diesel,"84,746","2,92,000"
618,2015,Petrol + CNG,"99,939","4,02,000"
619,2013,Diesel,"81,227","3,00,000"
620,2015,Petrol,"24,086","4,66,000"
621,2013,Diesel,"1,33,962","3,60,000"
622,2010,Petrol,"66,352","2,20,000"
623,2010,Diesel,"1,23,819","2,25,000"
624,2014,Petrol,"73,439","3,73,000"
625,2008,Petrol + CNG,"78,866","1,25,000"
626,2012,Diesel,"1,41,914","2,30,000"
627,2011,Diesel,"2,53,548","1,82,000"
628,2014,Diesel,"81,675","3,81,000"
629,2014,Diesel,"41,586","4,50,000"
630,2014,Petrol,"72,252","3,00,000"
631,2014,Diesel,"1,02,437","4,21,000"
632,2015,Petrol,"20,156","4,00,000"
633,2014,Petrol,"19,350","3,80,000"
634,2012,Diesel,"84,720","3,36,000"
635,2009,Diesel,"82,081","1,76,000"
636,2009,Diesel,"1,51,023","1,50,000"
637,2010,Petrol + CNG,"80,485","1,30,000"
638,2016,Petrol + CNG,"41,435","4,00,000"
639,2008,Petrol + CNG,"72,991","1,30,000"
640,2010,Diesel,"2,79,829","1,65,000"
641,2015,Petrol,"56,019","4,66,000"
642,2010,Petrol + CNG,"1,17,668","2,02,000"
643,2009,Petrol + CNG,"99,475","1,50,000"
644,2014,Diesel,"1,29,855","3,52,000"
645,2009,Petrol,"63,217","1,75,000"
646,2012,Diesel,"1,22,119","3,05,000"
647,2008,Petrol,"86,562","1,58,000"
648,2013,Petrol,"56,337","3,51,000"
649,2011,Petrol,"60,746","2,76,000"
650,2017,Petrol + CNG,"80,555","4,00,000"
651,2010,Petrol,"66,347","2,42,000"
652,2013,Diesel,"53,090","3,00,000"
653,2013,Petrol,"69,229","3,61,000"
654,2015,Diesel,"1,23,320","3,50,000"
655,2015,Diesel,"65,232","4,50,000"
656,2014,Diesel,"1,25,568","3,73,000"
657,2011,Diesel,"77,502","1,70,000"
658,2015,Diesel,"72,411","4,00,000"
659,2013,Diesel,"48,317","3,30,000"
660,2012,Diesel,"63,689","3,20,000"
661,2011,Diesel,"94,980","2,00,000"
662,2008,Petrol,"1,01,101","1,51,000"
663,2016,Diesel,"27,488","5,00,000"
664,2011,Diesel,"59,777","2,00,000"
665,2013,Diesel,"73,957","3,55,000"
666,2012,Diesel,"1,29,884","3,30,000"
667,2013,Diesel,"70,257","3,01,000"
668,2014,Petrol,"47,707","3,50,000"
669,2013,Diesel,"1,21,733","2,95,000"
670,2011,Diesel,"1,50,962","2,00,000"
671,2011,Petrol,"1,21,323","1,65,000"
672,2008,Petrol,"31,190","1,55,000"
673,2012,Diesel,"80,252","3,00,000"
674,2019,Petrol + CNG,"21,427","6,20,000"
675,2008,Petrol + CNG,"1,53,596","1,34,000"
676,2013,Petrol + CNG,"83,407","3,40,000"
677,2013,Diesel,"1,31,346","3,10,000"
678,2016,Petrol,"33,866","3,40,000"
679,2012,Diesel,"99,950","2,97,000"
680,2009,Petrol,"77,311","2,15,000"
681,2014,Diesel,"79,922","3,95,000"
682,2013,Diesel,"36,345","3,15,000"
683,2017,Petrol + CNG,"80,425","4,10,000"
684,2014,Petrol,"82,812","3,20,000"
685,2011,Diesel,"1,07,138","1,40,000"
686,2010,Diesel,"1,19,731","2,18,000"
687,2014,Diesel,"98,453","3,66,000"
688,2015,Petrol + CNG,"37,135","3,86,000"
689,2010,Diesel,"1,71,663","1,50,000"
690,2010,Petrol,"62,029","2,30,000"
691,2012,Diesel,"1,70,388","3,05,000"
692,2014,Diesel,"42,196","2,83,000"
693,2012,Diesel,"57,800","3,10,000"
694,2012,Diesel,"1,11,376","3,25,000"
695,2010,Petrol,"78,712","1,50,000"
696,2008,Petrol,"1,14,165","1,30,000"
697,2009,Petrol,"70,348","1,70,000"
698,2010,Diesel,"1,06,748","2,36,000"
699,2016,Diesel,"65,225","4,55,000"
700,2015,Diesel,"48,815","4,15,000"
701,2012,Diesel,"1,03,486","2,55,000"
702,2015,Diesel,"57,130","4,60,000"
703,2008,Petrol + CNG,"81,067","1,51,000"
704,2010,Petrol,"83,436","1,90,000"
705,2011,Diesel,"1,78,694","1,90,000"
706,2016,Petrol,"41,528","5,14,000"
707,2012,Diesel,"80,381","3,33,000"
708,2016,Petrol,"50,622","4,77,000"
709,2013,Diesel,"74,044","2,15,000"
710,2014,Diesel,"81,547","5,26,000"
711,2013,Diesel,"92,205","3,00,000"
712,2016,Diesel,"1,47,536","3,90,000"
713,2014,Diesel,"40,572","4,55,000"
714,2015,Petrol,"22,079","4,50,000"
715,2014,Diesel,"1,15,212","3,00,000"
716,2011,Petrol,"30,857","2,48,000"
717,2015,Petrol,"39,608","4,60,000"
718,2012,Diesel,"77,903","2,65,000"
719,2010,Petrol + CNG,"69,613","1,90,000"
720,2010,Petrol,"70,551","2,00,000"
721,2012,Diesel,"84,714","2,40,000"
722,2008,Petrol,"1,22,677","1,20,000"
723,2008,Petrol + CNG,"1,30,502","1,55,000"
724,2013,Diesel,"1,16,249","3,00,000"
725,2012,Diesel,"1,69,513","2,70,000"
726,2009,Petrol,"82,158","2,00,000"
727,2012,Diesel,"1,15,744","3,25,000"
728,2014,Diesel,"1,22,208","2,53,000"
729,2013,Diesel,"1,29,216","3,26,000"
730,2008,Petrol,"63,843","1,15,000"
731,2011,Petrol + CNG,"74,652","1,90,000"
732,2013,Diesel,"75,263","3,20,000"
733,2012,Diesel,"1,45,569","3,10,000"
734,2009,Diesel,"1,39,601","1,60,000"
735,2012,Diesel,"87,070","3,50,000"
736,2015,Petrol,"1,46,564","3,54,000"
737,2015,Diesel,"96,195","4,40,000"
738,2013,Diesel,"65,256","3,90,000"
739,2014,Diesel,"1,30,352","4,30,000"
740,2012,Diesel,"82,477","3,00,000"
741,2015,Diesel,"86,330","4,40,000"
742,2015,Diesel,"62,113","4,30,000"
743,2010,Diesel,"1,65,869","2,00,000"
744,2011,Diesel,"1,64,785","2,03,000"
745,2015,Diesel,"9,934","4,46,000"
746,2014,Diesel,"48,133","3,90,000"
747,2011,Diesel,"1,61,241","2,00,000"
748,2011,Petrol,"1,44,445","2,60,000"
749,2014,Petrol,"69,257","3,80,000"
750,2014,Petrol + CNG,"71,900","4,30,000"
751,2013,Diesel,"99,927","3,20,000"
752,2014,Diesel,"97,872","2,50,000"
753,2013,Diesel,"1,08,386","2,80,000"
754,2014,Diesel,"97,497","3,25,000"
755,2011,Petrol,"1,01,866","2,00,000"
756,2015,Petrol,"12,228","4,80,000"
757,2010,Diesel,"90,075","1,50,000"
758,2014,Diesel,"76,543","3,50,000"
759,2016,Petrol,"39,315","4,00,000"
760,2015,Diesel,"1,12,263","3,40,000"
761,2016,Petrol,"87,856","3,55,000"
762,2012,Petrol,"74,429","3,10,000"
763,2013,Diesel,"40,977","3,90,000"
764,2010,Diesel,"59,406","2,05,000"
765,2011,Diesel,"1,28,892","2,00,000"
766,2012,Diesel,"1,80,687","2,45,000"
767,2009,Petrol,"39,397","1,80,000"
768,2016,Diesel,"69,289","5,00,000"
769,2009,Petrol + CNG,"1,31,103","1,45,000"
770,2013,Petrol,"63,452","3,70,000"
771,2008,Petrol + CNG,"77,308","1,35,000"
772,2014,Diesel,"98,087","3,65,000"
773,2009,Petrol + CNG,"93,974","1,40,000"
774,2013,Diesel,"76,463","3,20,000"
775,2010,Petrol + CNG,"87,896","1,70,000"
776,2012,Petrol,"42,625","3,60,000"
777,2015,Diesel,"79,999","3,15,000"
778,2015,Petrol,"20,091","4,00,000"
779,2016,Petrol,"43,029","4,35,000"
780,2010,Diesel,"1,04,651","2,00,000"
781,2015,Diesel,"94,002","3,00,000"
782,2010,Petrol,"1,38,905","2,50,000"
783,2013,Diesel,"80,832","3,00,000"
784,2011,Diesel,"5,730","2,25,000"
785,2015,Petrol + CNG,"1,92,225","2,85,000"
786,2014,Diesel,"1,65,916","2,50,000"
787,2016,Diesel,"67,679","4,50,000"
788,2014,Diesel,"68,404","3,80,000"
789,2010,Diesel,"1,92,779","1,30,000"
790,2012,Petrol + CNG,"62,129","2,70,000"
791,2010,Diesel,"1,77,517","1,50,000"
792,2011,Diesel,"1,78,494","1,90,000"
793,2015,Petrol,"55,689","3,90,000"
794,2013,Diesel,"40,783","3,40,000"
795,2012,Diesel,"25,993","3,60,000"
796,2010,Petrol + CNG,"1,06,776","1,90,000"
797,2016,Diesel,"47,754","5,40,000"
798,2014,Diesel,"58,666","4,50,000"
799,2011,Petrol,"39,396","2,50,000"
800,2014,Diesel,"91,358","4,38,000"
801,2013,Petrol + CNG,"1,10,115","3,20,000"
802,2010,Petrol,"1,27,211","1,95,000"
803,2012,Petrol + CNG,"1,09,489","3,00,000"
804,2013,Petrol,"57,657","3,25,000"
805,2008,Petrol + CNG,"1,03,179","1,50,000"
806,2013,Petrol,"36,554","2,58,000"
807,2013,Diesel,"83,847","3,70,000"
808,2015,Diesel,"76,871","3,50,000"
809,2013,Diesel,"1,10,416","2,90,000"
810,2013,Diesel,"76,605","2,10,000"
811,2011,Petrol + CNG,"1,30,933","1,80,000"
812,2008,Diesel,"2,55,733","90,000"
813,2012,Diesel,"53,131","3,00,000"
814,2013,Diesel,"80,788","3,50,000"
815,2016,Petrol,"48,428","4,55,000"
816,2014,Petrol,"19,228","4,15,000"
817,2012,Petrol + CNG,"1,65,608","2,70,000"
818,2010,Petrol,"38,230","2,00,000"
819,2012,Petrol,"65,723","2,80,000"
820,2015,Diesel,"49,643","3,80,000"
821,2011,Diesel,"1,23,755","2,50,000"
822,2012,Diesel,"1,51,564","2,50,000"
823,2010,Diesel,"2,30,070","1,25,000"
824,2010,Diesel,"1,31,487","1,85,000"
825,2012,Diesel,"1,36,294","2,90,000"
826,2015,Diesel,"70,859","3,20,000"
827,2013,Diesel,"1,09,760","4,00,000"
828,2013,Diesel,"56,215","2,34,000"
829,2013,Diesel,"82,422","3,40,000"
830,2010,Petrol,"83,866","2,10,000"
831,2014,Petrol,"68,460","3,45,000"
832,2014,Petrol,"23,574","3,45,000"
833,2011,Petrol + CNG,"1,63,869","1,60,000"
834,2014,Petrol,"96,680","3,75,000"
835,2014,Petrol,"47,696","3,45,000"
836,2012,Diesel,"51,078","3,00,000"
837,2014,Diesel,"61,392","3,70,000"
838,2014,Diesel,"63,341","4,00,000"
839,2008,Petrol,"80,187","1,35,000"
840,2014,Diesel,"71,230","3,60,000"
841,2012,Diesel,"77,907","3,20,000"
842,2008,Petrol,"1,47,167","1,35,000"
843,2015,Diesel,"49,028","3,50,000"
844,2014,Diesel,"76,152","2,95,000"
845,2014,Petrol + CNG,"2,05,350","3,25,000"
846,2010,Petrol + CNG,"97,185","2,30,000"
847,2011,Diesel,"66,305","2,60,000"
848,2011,Petrol,"74,441","2,80,000"
849,2012,Diesel,"1,43,035","1,90,000"
850,2014,Petrol,"51,577","3,75,000"
851,2010,Diesel,"89,131","2,50,000"
852,2009,Petrol + CNG,"1,14,925","1,60,000"
853,2011,Diesel,"1,17,332","1,90,000"
854,2008,Diesel,"2,99,912","1,70,000"
855,2015,Diesel,"1,00,025","2,70,000"
856,2015,Diesel,"67,827","4,40,000"
857,2016,Diesel,"72,800","4,40,000"
858,2010,Diesel,"1,59,902","2,10,000"
859,2012,Diesel,"72,726","2,20,000"
860,2014,Diesel,"84,621","3,90,000"
861,2013,Diesel,"57,848","3,20,000"
862,2016,Petrol,"75,841","5,00,000"
863,2014,Diesel,"1,49,476","4,20,000"
864,2013,Diesel,"1,27,987","3,20,000"
865,2013,Diesel,"80,897","3,25,000"
866,2011,Diesel,"89,197","2,25,000"
867,2014,Petrol,"64,875","3,75,000"
868,2015,Petrol + CNG,"38,204","3,60,000"
869,2012,Petrol,"53,251","3,10,000"
870,2015,Diesel,"58,383","3,50,000"
871,2011,Diesel,"90,197","2,70,000"
872,2010,Petrol,"61,960","2,80,000"
873,2012,Diesel,"1,13,816","2,90,000"
874,2010,Petrol,"46,571","2,10,000"
875,2012,Diesel,"58,501","2,95,000"
876,2011,Petrol + CNG,"70,897","1,79,000"
877,2015,Petrol,"29,838","4,25,000"
878,2011,Diesel,"2,13,272","2,30,000"
879,2012,Diesel,"63,363","3,10,000"
880,2014,Diesel,"69,801","3,25,000"
881,2012,Diesel,"60,244","3,35,000"
882,2009,Petrol,"72,350","1,75,000"
883,2011,Diesel,"1,06,428","1,85,000"
884,2013,Diesel,"82,782","3,00,000"
885,2008,Petrol,"1,27,383","1,40,000"
886,2013,Diesel,"74,076","3,15,000"
887,2009,Petrol,"1,11,532","1,40,000"
888,2013,Petrol,"57,869","2,80,000"
889,2015,Diesel,"1,14,103","4,10,000"
890,2015,Diesel,"92,729","3,40,000"
891,2013,Diesel,"64,676","2,80,000"
892,2014,Petrol,"64,666","3,60,000"
893,2008,Petrol + CNG,"84,001","1,50,000"
894,2012,Petrol,"63,568","2,95,000"
895,2011,Diesel,"1,67,803","2,25,000"
896,2015,Diesel,"92,931","3,45,000"
897,2013,Diesel,"1,16,067","3,15,000"
898,2010,Diesel,"1,48,917","1,90,000"
899,2015,Petrol,"71,700","3,90,000"
900,2011,Diesel,"89,552","2,25,000"
901,2015,Diesel,"71,507","3,55,000"
902,2013,Diesel,"92,198","2,80,000"
903,2012,Diesel,"69,103","2,95,000"
904,2009,Petrol + CNG,"1,46,149","1,50,000"
905,2012,Diesel,"52,801","2,75,000"
906,2010,Petrol + CNG,"1,12,085","1,55,000"
907,2014,Diesel,"54,239","3,40,000"
908,2012,Diesel,"93,911","3,40,000"
909,2014,Diesel,"1,09,780","3,00,000"
910,2014,Diesel,"53,584","4,20,000"
911,2013,Diesel,"62,661","3,25,000"
912,2015,Diesel,"66,655","3,30,000"
913,2013,Diesel,"53,102","3,90,000"
914,2015,Diesel,"55,295","4,20,000"
915,2015,Diesel,"62,668","4,50,000"
916,2014,Petrol + CNG,"71,692","3,00,000"
917,2012,Diesel,"69,295","2,60,000"
918,2011,Petrol,"71,667","2,05,000"
919,2014,Diesel,"49,937","3,50,000"
920,2016,Diesel,"68,255","4,75,000"
921,2012,Diesel,"1,01,543","3,60,000"
922,2012,Diesel,"74,465","3,50,000"
923,2014,Diesel,"2,33,468","3,00,000"
924,2012,Diesel,"93,297","3,50,000"
925,2008,Petrol + CNG,"64,412","1,10,000"
926,2010,Petrol,"43,320","1,70,000"
927,2013,Diesel,"1,07,449","3,00,000"
928,2013,Petrol,"93,167","3,75,000"
929,2014,Petrol,"64,436","3,55,000"
930,2014,Diesel,"42,633","3,50,000"
931,2011,Diesel,"82,710","2,25,000"
932,2009,Petrol,"1,33,044","1,80,000"
933,2011,Diesel,"2,17,323","2,05,158"
934,2014,Diesel,"75,325","4,00,000"
935,2015,Diesel,"60,773","4,50,000"
936,2013,Petrol,"45,340","3,50,000"
937,2013,Diesel,"1,92,754","3,00,000"
938,2013,Diesel,"1,06,828","3,00,000"
939,2011,Diesel,"1,98,896","1,85,000"
940,2008,Petrol + CNG,"74,067","1,70,000"
941,2010,Diesel,"1,39,757","1,40,000"
942,2012,Diesel,"73,209","2,80,000"
943,2014,Diesel,"1,51,167","4,20,000"
944,2012,Petrol,"66,507","3,10,000"
945,2009,Petrol,"73,537","1,65,000"
946,2013,Petrol,"48,149","3,50,000"
947,2014,Diesel,"1,46,417","4,00,000"
948,2012,Petrol,"91,712","2,40,000"
949,2012,Diesel,"83,679","3,00,000"
950,2014,Diesel,"64,434","3,90,000"
951,2012,Diesel,"70,180","3,10,000"
952,2011,Diesel,"95,976","2,10,000"
953,2011,Diesel,"87,239","2,00,000"
954,2008,Petrol,"97,538","1,25,000"
955,2016,Petrol,"34,181","4,20,000"
956,2012,Petrol + CNG,"1,09,218","2,83,140"
957,2015,Diesel,"1,12,635","3,50,000"
958,2014,Diesel,"76,622","4,20,000"
959,2015,Diesel,"42,941","4,75,000"
960,2015,Petrol + CNG,"32,408","4,50,000"
961,2015,Diesel,"53,904","4,00,000"
962,2012,Diesel,"1,31,220","2,05,000"
963,2011,Diesel,"50,878","2,00,000"
964,2010,Diesel,"1,48,945","2,00,000"
965,2013,Diesel,"74,721","3,50,000"
966,2010,Petrol,"45,410","2,00,000"
967,2013,Diesel,"28,821","4,00,000"
968,2010,Diesel,"1,21,531","1,85,000"
969,2013,Diesel,"1,06,779","3,00,000"
970,2011,Diesel,"2,16,313","2,10,000"
971,2014,Diesel,"1,43,023","2,50,000"
972,2015,Diesel,"85,973","3,50,000"
973,2012,Diesel,"93,395","3,00,000"
974,2015,Diesel,"48,135","4,20,000"
975,2009,Petrol + CNG,"48,074","1,65,000"
976,2010,Diesel,"85,299","2,25,000"
977,2010,Petrol + CNG,"89,043","1,85,000"
978,2014,Diesel,"57,608","3,00,000"
979,2013,Diesel,"1,12,423","3,30,000"
980,2010,Petrol + CNG,"80,993","2,00,000"
981,2014,Diesel,"84,546","3,60,000"
982,2012,Diesel,"1,52,215","3,10,000"
983,2014,Petrol,"54,998","3,20,000"
984,2013,Petrol,"45,020","3,50,000"
985,2013,Diesel,"1,00,373","4,00,000"
986,2011,Diesel,"1,05,284","2,50,000"
987,2013,Diesel,"78,385","4,00,000"
988,2014,Diesel,"1,07,117","3,25,000"
989,2014,Diesel,"1,21,375","2,75,000"
990,2014,Diesel,"28,244","3,60,000"
991,2010,Petrol,"1,00,959","2,00,000"
992,2014,Petrol,"61,863","3,20,000"
993,2011,Petrol + CNG,"97,861","2,20,000"
994,2013,Petrol + CNG,"75,415","2,80,000"
995,2015,Diesel,"81,314","5,20,000"
996,2009,Petrol + CNG,"1,11,129","1,40,000"
997,2016,Petrol,"64,570","3,75,000"
998,2009,Petrol,"30,054","2,15,000"
999,2011,Diesel,"26,494","2,85,000"
1000,2013,Diesel,"30,251","4,35,000"
1001,2010,Petrol,"57,956","2,25,000"
1002,2015,Diesel,"42,861","4,50,000"
1003,2015,Diesel,"80,329","4,80,000"
1004,2013,Diesel,"1,20,295","3,20,000"
1005,2014,Diesel,"1,46,190","3,00,000"
1006,2012,Diesel,"97,591","3,30,000"
1007,2012,Diesel,"1,12,041","2,90,000"
1008,2012,Petrol,"63,804","3,50,000"
1009,2011,Diesel,"89,274","2,50,000"
1010,2013,Diesel,"63,674","3,50,000"
1011,2010,Petrol + CNG,"1,38,129","1,60,000"
1012,2013,Petrol + CNG,"54,086","3,25,000"
1013,2011,Diesel,"1,48,007","2,00,000"
1014,2011,Diesel,"1,34,725","2,30,000"
1015,2014,Diesel,"76,743","3,70,000"
1016,2014,Diesel,"1,03,503","3,50,000"
1017,2013,Diesel,"26,775","4,50,000"
1018,2012,Diesel,"2,13,827","3,00,000"
1019,2013,Petrol,"61,041","3,20,000"
1020,2014,Diesel,"93,327","3,20,000"
1021,2016,Diesel,"42,124","5,00,000"
1022,2012,Diesel,"1,09,987","2,70,000"
1023,2012,Diesel,"81,219","3,50,000"
1024,2009,Petrol,"60,029","1,50,000"
1025,2008,Petrol,"77,655","1,50,000"
1026,2014,Diesel,"1,22,116","3,00,000"
1027,2010,Petrol + CNG,"1,54,536","1,70,000"
1028,2010,Petrol,"43,090","2,30,000"
1029,2011,Petrol,"29,062","2,50,000"
1030,2014,Diesel,"37,117","4,60,000"
1031,2014,Diesel,"1,02,740","3,10,000"
1032,2011,Diesel,"73,180","2,00,000"
1033,2014,Diesel,"62,161","3,50,000"
1034,2010,Petrol,"1,11,066","2,10,000"
1035,2013,Petrol,"43,604","3,20,000"
1036,2011,Petrol + CNG,"83,595","1,50,000"
1037,2016,Petrol,"34,944","4,50,000"
1038,2010,Diesel,"82,921","2,30,000"
1039,2012,Diesel,"82,779","3,00,000"
1040,2014,Diesel,"70,080","3,70,000"
1041,2011,Diesel,"85,940","2,40,000"
1042,2010,Petrol + CNG,"1,10,197","1,80,000"
1043,2010,Diesel,"1,30,591","2,50,000"
1044,2016,Diesel,"36,583","4,20,000"
1045,2009,Petrol + CNG,"1,03,616","1,60,000"
1046,2013,Diesel,"51,641","3,50,000"
1047,2010,Diesel,"65,589","2,25,000"
1048,2012,Petrol,"40,993","3,25,000"
1049,2008,Petrol + CNG,"83,419","1,54,000"
1050,2013,Diesel,"44,982","3,40,000"
1051,2013,Diesel,"30,467","4,00,000"
1052,2011,Diesel,"1,61,517","2,20,000"
1053,2013,Diesel,"78,748","3,25,000"
1054,2013,Diesel,"66,262","3,30,000"
1055,2013,Diesel,"60,641","3,15,000"
1056,2010,Petrol,"1,29,406","1,75,000"
1057,2014,Diesel,"59,805","3,30,000"
1058,2015,Diesel,"30,764","4,00,000"
1059,2011,Diesel,"90,629","2,25,000"
1060,2014,Diesel,"72,405","3,50,000"
1061,2011,Petrol + CNG,"73,926","2,00,000"
1062,2012,Diesel,"1,42,705","3,00,000"
1063,2009,Petrol,"82,071","1,76,000"
1064,2014,Diesel,"1,21,350","3,70,000"
1065,2016,Petrol,"38,725","5,00,000"
1066,2014,Diesel,"1,24,285","2,80,000"
1067,2008,Petrol,"74,777","1,70,000"
1068,2010,Diesel,"77,487","2,00,000"
1069,2013,Diesel,"1,72,906","3,25,000"
1070,2011,Diesel,"51,306","2,80,000"
1071,2008,Petrol + CNG,"98,030","1,50,000"
1072,2013,Diesel,"96,991","3,30,000"
1073,2015,Diesel,"1,12,832","3,50,000"
1074,2014,Diesel,"94,834","2,80,000"
1075,2012,Diesel,"38,344","3,50,000"
1076,2013,Diesel,"61,906","3,20,000"
1077,2014,Diesel,"66,470","4,00,000"
1078,2009,Petrol,"34,879","1,25,000"
1079,2015,Petrol,"26,179","4,80,000"
1080,2014,Diesel,"1,15,572","4,00,000"
1081,2012,Diesel,"1,57,626","3,50,000"
1082,2012,Diesel,"56,632","3,50,000"
1083,2014,Diesel,"1,69,152","3,20,000"
1084,2014,Diesel,"1,01,191","2,90,000"
1085,2014,Diesel,"84,847","4,00,000"
1086,2012,Diesel,"62,637","3,05,000"
1087,2012,Diesel,"1,42,281","3,00,000"
1088,2009,Petrol,"1,48,575","1,50,000"
1089,2010,Petrol,"32,500","1,60,000"
1090,2015,Petrol,"54,551","4,00,000"
1091,2013,Diesel,"86,870","3,50,000"
1092,2012,Diesel,"91,981","2,80,000"
1093,2012,Petrol,"36,512","3,25,000"
1094,2013,Diesel,"90,459","3,50,000"
1095,2014,Diesel,"34,538","4,15,000"
1096,2009,Diesel,"1,36,270","2,00,000"
1097,2014,Diesel,"1,13,160","3,50,000"
1098,2009,Petrol,"82,287","1,80,000"
1099,2012,Diesel,"77,310","3,30,000"
1100,2010,Diesel,"69,417","3,00,000"
1101,2009,Petrol,"43,211","2,10,000"
1102,2009,Petrol + CNG,"83,707","2,00,000"
1103,2011,Petrol,"92,572","2,23,000"
1104,2012,Diesel,"98,903","3,00,000"
1105,2014,Diesel,"1,14,425","3,95,000"
1106,2014,Diesel,"82,603","3,50,000"
1107,2010,Diesel,"96,466","2,10,000"
1108,2015,Diesel,"58,558","3,65,000"
1109,2014,Diesel,"86,136","3,00,000"
1110,2017,Petrol,"30,020","5,00,000"
1111,2011,Petrol + CNG,"84,684","2,25,000"
1112,2014,Diesel,"1,42,426","3,50,000"
1113,2014,Diesel,"65,705","4,15,000"
1114,2013,Diesel,"1,65,632","3,75,000"
1115,2012,Diesel,"1,32,089","3,25,000"
1116,2014,Diesel,"58,301","4,00,000"
1117,2013,Diesel,"81,440","3,10,000"
1118,2013,Diesel,"1,06,850","3,00,000"
1119,2013,Diesel,"73,846","3,25,000"
1120,2010,Diesel,"1,21,656","2,00,000"
1121,2012,Petrol + CNG,"54,978","2,50,000"
1122,2010,Diesel,"2,58,665","1,80,000"
1123,2010,Diesel,"1,32,244","2,00,000"
1124,2011,Diesel,"96,213","3,10,000"
1125,2011,Diesel,"72,319","2,90,000"
1126,2013,Diesel,"40,992","3,70,000"
1127,2012,Petrol + CNG,"61,505","2,70,000"
1128,2014,Diesel,"68,131","3,60,000"
1129,2014,Diesel,"84,119","4,50,000"
1130,2009,Petrol + CNG,"1,78,912","1,30,000"
1131,2012,Diesel,"65,634","2,30,000"
1132,2012,Diesel,"33,465","3,10,000"
1133,2009,Petrol + CNG,"1,07,142","1,85,000"
1134,2015,Petrol,"47,227","4,20,000"
1135,2014,Diesel,"89,410","3,10,000"
1136,2011,Petrol + CNG,"74,972","2,00,000"
1137,2012,Diesel,"80,592","3,00,000"
1138,2008,Petrol + CNG,"1,15,338","1,20,000"
1139,2014,Diesel,"52,464","4,00,000"
1140,2008,Petrol + CNG,"1,14,399","1,20,000"
1141,2010,Petrol,"1,21,422","1,60,000"
1142,2008,Diesel,"83,964","1,50,000"
1143,2011,Diesel,"1,26,347","2,57,000"
1144,2012,Diesel,"96,166","2,75,000"
1145,2011,Diesel,"1,02,250","2,00,000"
1146,2012,Diesel,"1,24,919","3,15,000"
1147,2016,Petrol + CNG,"51,411","4,10,000"
1148,2015,Diesel,"30,957","4,50,000"
1149,2011,Diesel,"1,45,009","2,00,000"
1150,2014,Diesel,"57,938","3,15,000"
1151,2012,Diesel,"57,575","2,70,000"
1152,2011,Petrol,"77,490","2,50,000"
1153,2010,Diesel,"83,146","1,50,000"
1154,2013,Petrol,"1,58,805","2,80,000"
1155,2013,Diesel,"1,10,249","2,50,000"
1156,2014,Diesel,"1,34,705","3,00,000"
1157,2015,Diesel,"80,573","4,25,000"
1158,2009,Petrol + CNG,"70,936","1,60,000"
1159,2011,Diesel,"1,01,143","1,70,000"
1160,2013,Diesel,"52,947","3,80,000"
1161,2013,Petrol,"1,30,595","2,50,000"
1162,2014,Petrol,"53,907","3,60,000"
1163,2014,Diesel,"1,75,173","4,10,000"
1164,2015,Petrol,"17,277","5,00,000"
1165,2008,Diesel,"1,13,556","1,40,000"
1166,2012,Petrol + CNG,"73,498","2,10,000"
1167,2014,Diesel,"99,181","2,80,000"
1168,2015,Diesel,"1,95,521","3,00,000"
1169,2014,Diesel,"69,701","4,00,000"
1170,2014,Diesel,"69,205","4,00,000"
1171,2012,Diesel,"1,07,325","3,30,000"
1172,2015,Diesel,"35,722","3,45,000"
1173,2014,Diesel,"23,891","4,10,000"
1174,2012,Petrol,"88,848","3,00,000"
1175,2017,Diesel,"45,859","5,50,000"
1176,2012,Diesel,"1,20,000","2,80,000"
1177,2011,Diesel,"1,11,586","2,25,000"
1178,2012,Diesel,"45,760","3,50,000"
1179,2012,Diesel,"1,20,371","3,50,000"
1180,2008,Petrol + CNG,"54,910","1,75,000"
1181,2014,Diesel,"91,852","3,40,000"
1182,2014,Diesel,"1,07,483","2,85,000"
1183,2014,Diesel,"77,911","3,80,000"
1184,2011,Petrol + CNG,"1,66,542","2,00,000"
1185,2011,Diesel,"1,08,865","2,50,000"
1186,2008,Petrol + CNG,"2,33,058","2,10,000"
1187,2014,Diesel,"1,38,096","4,00,000"
1188,2014,Diesel,"1,32,567","3,15,000"
1189,2016,Petrol,"29,247","3,75,000"
1190,2012,Diesel,"1,14,776","2,25,000"
1191,2013,Diesel,"92,076","2,70,000"
1192,2013,Diesel,"33,151","3,00,000"
1193,2014,Diesel,"66,605","3,50,000"
1194,2010,Diesel,"86,435","2,00,000"
1195,2015,Diesel,"55,352","4,50,000"
