,model,fuel,km_driven,resale_val
138,2011,Diesel,"44,787","2,90,000"
139,2014,Diesel,"1,41,093","4,15,000"
140,2011,Petrol,"69,285","2,00,000"
141,2013,Diesel,"87,362","2,80,000"
142,2011,Diesel,"2,06,691","1,50,000"
143,2014,Petrol,"56,916","3,50,000"
144,2012,Diesel,"31,435","3,80,000"
145,2015,Petrol,"58,641","3,75,000"
146,2015,Diesel,"84,987","3,00,000"
147,2015,Diesel,"59,775","3,85,000"
148,2015,Diesel,"60,021","3,00,000"
149,2017,Petrol,"55,220","5,00,000"
150,2014,Diesel,"96,584","3,80,000"
151,2012,Diesel,"99,117","2,90,000"
152,2010,Petrol + CNG,"80,152","1,80,000"
153,2009,Petrol,"1,49,111","1,40,000"
154,2011,Diesel,"46,559","1,99,999"
155,2012,Petrol,"61,426","3,25,000"
156,2013,Diesel,"60,203","3,85,000"
157,2015,Diesel,"99,635","4,00,000"
158,2015,Diesel,"97,229","4,45,000"
159,2016,Petrol + CNG,"86,222","3,15,000"
160,2013,Diesel,"62,702","3,30,000"
161,2015,Petrol,"28,745","4,03,000"
162,2012,Diesel,"1,11,711","2,42,000"
163,2012,Petrol,"19,614","2,80,000"
164,2012,Diesel,"87,666","2,85,000"
165,2009,Petrol + CNG,"1,72,423","1,30,000"
166,2013,Diesel,"69,550","3,20,000"
167,2011,Petrol + CNG,"84,685","1,80,000"
168,2013,Diesel,"1,05,000","3,75,000"
169,2013,Petrol,"1,00,361","3,40,000"
170,2016,Petrol,"75,000","4,00,000"
171,2015,Diesel,"1,68,077","2,70,000"
172,2014,Diesel,"1,02,430","3,21,923"
173,2013,Diesel,"71,530","3,31,000"
174,2012,Petrol,"58,972","3,00,000"
175,2014,Diesel,"85,000","3,55,000"
176,2013,Diesel,"1,35,832","3,60,000"
177,2016,Diesel,"71,627","3,50,000"
178,2013,Diesel,"73,024","3,41,000"
179,2009,Petrol,"99,000","2,00,000"
180,2008,Petrol + CNG,"1,41,875","1,20,000"
181,2011,Diesel,"80,682","1,60,000"
182,2013,Diesel,"72,280","2,50,000"
183,2010,Petrol,"98,173","1,85,000"
184,2015,Diesel,"50,359","3,80,000"
185,2010,Petrol + CNG,"62,860","1,10,000"
186,2014,Diesel,"1,16,777","2,60,000"
187,2008,Petrol,"1,19,436","1,00,000"
188,2010,Diesel,"1,15,050","2,50,000"
189,2013,Diesel,"1,02,207","2,50,000"
190,2013,Diesel,"51,925","3,30,000"
191,2016,Diesel,"71,897","5,60,000"
192,2012,Petrol,"81,000","2,00,000"
193,2015,Diesel,"34,346","4,25,000"
194,2011,Petrol + CNG,"60,052","1,70,000"
195,2013,Diesel,"1,21,957","2,20,000"
196,2012,Diesel,"51,845","3,25,000"
197,2008,Petrol,"77,109","1,30,000"
198,2010,Diesel,"1,51,431","1,47,000"
199,2015,Diesel,"63,246","3,01,000"
200,2011,Petrol,"92,166","1,70,064"
201,2014,Petrol,"26,752","3,50,000"
202,2019,Petrol,"45,000","5,15,000"
203,2014,Petrol,"47,897","6,14,000"
204,2010,Diesel,"76,042","2,04,000"
205,2012,Petrol,"1,00,000","2,00,000"
206,2010,Petrol + CNG,"1,11,112","1,70,000"
207,2008,Diesel,"1,00,000","1,85,000"
208,2012,Diesel,"1,05,156","1,85,000"
209,2012,Diesel,"1,37,099","3,00,000"
210,2013,Diesel,"96,551","2,00,000"
211,2014,Diesel,"63,296","4,83,000"
212,2013,Diesel,"93,833","3,15,000"
213,2011,Diesel,"1,20,135","2,70,000"
214,2015,Diesel,"1,10,000","4,45,000"
215,2014,Petrol + CNG,"84,224","4,00,000"
216,2012,Petrol,"27,760","2,19,000"
217,2014,Diesel,"58,674","3,00,000"
218,2012,Petrol,"67,243","2,75,000"
219,2014,Petrol,"50,782","4,20,000"
220,2014,Diesel,"1,20,019","4,25,000"
221,2014,Petrol + CNG,"60,834","4,35,600"
222,2014,Petrol,"47,219","3,25,000"
223,2012,Diesel,"64,178","3,08,000"
224,2014,Diesel,"48,342","3,70,000"
225,2015,Diesel,"25,448","5,08,185"
226,2009,Diesel,"1,17,354","1,06,194"
227,2010,Diesel,"1,24,941","1,24,320"
228,2009,Petrol + CNG,"64,768","1,70,000"
229,2016,Petrol + CNG,"1,17,051","4,10,000"
230,2011,Diesel,"1,36,758","2,00,535"
231,2014,Diesel,"77,523","3,73,000"
232,2012,Diesel,"1,07,074","3,10,000"
233,2014,Diesel,"91,365","3,60,000"
234,2017,Diesel,"83,000","4,75,000"
235,2008,Petrol + CNG,"94,152","1,18,000"
236,2012,Diesel,"63,478","3,21,000"
237,2010,Diesel,"90,413","1,45,281"
238,2011,Diesel,"61,205","2,25,000"
239,2011,Petrol,"69,243","2,00,000"
240,2010,Diesel,"1,96,174","2,25,000"
241,2012,Diesel,"1,13,916","2,53,000"
242,2010,Diesel,"1,57,880","1,32,449"
243,2012,Diesel,"1,53,386","2,31,000"
244,2012,Petrol + CNG,"81,198","3,00,000"
245,2014,Diesel,"97,448","3,00,000"
246,2010,Diesel,"1,01,304","2,00,000"
247,2012,Diesel,"1,14,656","3,03,456"
248,2013,Diesel,"73,346","4,30,000"
249,2010,Petrol,"78,000","2,00,000"
250,2013,Diesel,"1,04,023","3,30,000"
251,2013,Petrol,"51,882","3,50,000"
252,2014,Diesel,"1,61,545","3,50,000"
253,2012,Diesel,"1,08,459","3,00,000"
254,2011,Diesel,"99,118","2,30,000"
255,2014,Diesel,"54,938","2,90,000"
256,2012,Diesel,"70,871","3,36,000"
