,model,fuel,km_driven,resale_val
139,2008,Petrol,"67,643","2,50,000"
140,2008,Petrol,"29,626","2,30,000"
141,2011,Petrol + CNG,"84,055","2,45,000"
142,2009,Petrol + CNG,"68,708","2,50,000"
143,2008,Petrol + CNG,"64,682","1,90,000"
144,2010,Petrol,"24,060","2,50,000"
145,2013,Petrol,"10,546","4,00,000"
146,2013,Petrol,"77,434","3,20,000"
147,2009,Petrol,"1,36,341","1,75,000"
148,2008,Petrol + CNG,"98,980","1,90,000"
149,2011,Petrol + CNG,"1,06,570","2,25,000"
150,2011,Petrol,"79,523","2,90,000"
151,2008,Petrol,"60,536","1,60,000"
152,2010,Petrol,"32,650","2,25,000"
153,2014,Diesel,"42,994","4,75,000"
